id,name,specialization,qualifications,contact,available_days,available_from,available_to,not_available_dates,fees,consultation_modes,languages
1,Dr. Ravi Kumar,Cardiology,"MBBS, MD","{""email"": ""doc1@clinic.com"", ""phone"": ""9170000001""}","[""Mon"", ""Tue"", ""Wed""]",09:00,17:00,"[""2025-11-09""]","{""in_person"": 500, ""telemedicine"": 300}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
2,Dr. Neha Sharma,Dermatology,"MBBS, DDV","{""email"": ""doc2@clinic.com"", ""phone"": ""9170000002""}","[""Tue"", ""Thu"", ""Fri""]",09:00,17:00,"[""2025-11-04""]","{""in_person"": 600, ""telemedicine"": 350}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
3,Dr. Amit Joshi,General Medicine,MBBS,"{""email"": ""doc3@clinic.com"", ""phone"": ""9170000003""}","[""Mon"", ""Tue"", ""Wed""]",09:00,17:00,[],"{""in_person"": 700, ""telemedicine"": 400}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
4,Dr. Saira Banu,Pediatrics,"MBBS, MD Pediatrics","{""email"": ""doc4@clinic.com"", ""phone"": ""9170000004""}","[""Mon"", ""Tue"", ""Wed""]",09:00,17:00,"[""2025-11-08""]","{""in_person"": 800, ""telemedicine"": 450}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
5,Dr. Karan Verma,Orthopedics,"MBBS, MS Orth","{""email"": ""doc5@clinic.com"", ""phone"": ""9170000005""}","[""Mon"", ""Tue"", ""Wed"", ""Thu""]",09:00,17:00,"[""2025-11-07""]","{""in_person"": 900, ""telemedicine"": 500}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
6,Dr. Lata Iyer,Gynecology,"MBBS, DGO","{""email"": ""doc6@clinic.com"", ""phone"": ""9170000006""}","[""Mon"", ""Tue"", ""Wed"", ""Thu""]",09:00,17:00,[],"{""in_person"": 1000, ""telemedicine"": 550}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
7,Dr. Manoj Rao,Neurology,"MBBS, DM","{""email"": ""doc7@clinic.com"", ""phone"": ""9170000007""}","[""Mon"", ""Tue"", ""Wed"", ""Thu""]",09:00,17:00,"[""2025-11-28""]","{""in_person"": 1100, ""telemedicine"": 600}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
8,Dr. Nidhi Shah,ENT,"MBBS, DLO","{""email"": ""doc8@clinic.com"", ""phone"": ""9170000008""}","[""Tue"", ""Thu"", ""Fri""]",09:00,17:00,[],"{""in_person"": 1200, ""telemedicine"": 650}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
9,Dr. Om Prakash,Endocrinology,"MBBS, MD Endo","{""email"": ""doc9@clinic.com"", ""phone"": ""9170000009""}","[""Mon"", ""Wed"", ""Fri""]",09:00,17:00,"[""2025-11-25""]","{""in_person"": 1300, ""telemedicine"": 700}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
10,Dr. Priya Singh,Psychiatry,"MBBS, DPM","{""email"": ""doc10@clinic.com"", ""phone"": ""9170000010""}","[""Mon"", ""Tue"", ""Wed""]",09:00,17:00,"[""2025-11-04""]","{""in_person"": 1400, ""telemedicine"": 750}","[""in_person"", ""telemedicine""]","[""English"", ""Hindi""]"
11,Dr. Who,who knows,who knows,"{'email':'who@gmail.com','phone':00000}","['Mon','Sun']",09:00,12:00,,100000000000000000,,
